time,bus_voltage
2019-09-19 20:21:40.909415,10.076
2019-09-19 20:26:41.011687,10.072
2019-09-19 20:31:41.113966,10.068
2019-09-19 20:36:41.216245,10.068
2019-09-19 20:41:41.318504,10.06
2019-09-19 20:46:41.420871,10.064
2019-09-19 20:51:41.523124,10.056
2019-09-19 20:56:41.625386,10.048
2019-09-19 21:01:41.692456,10.052
2019-09-19 21:06:41.794723,10.048
2019-09-19 21:11:41.897000,10.04
2019-09-19 21:16:41.999288,10.04
2019-09-19 21:21:42.101591,10.04
2019-09-19 21:26:42.203860,10.04
2019-09-19 21:31:42.306148,10.032
2019-09-19 21:36:42.408444,10.032
2019-09-19 21:41:42.510823,10.028
2019-09-19 21:46:42.613121,10.024
2019-09-19 21:51:42.715406,10.024
2019-09-19 21:56:42.817705,10.024
2019-09-19 22:01:42.920118,10.016
2019-09-19 22:06:43.022391,10.016
2019-09-19 22:11:43.124671,10.016
2019-09-19 22:16:43.226960,10.012
2019-09-19 22:21:43.329211,10.008
2019-09-19 22:26:43.431468,10.0
2019-09-19 22:31:43.533724,10.004
2019-09-19 22:36:43.636004,10.0
2019-09-19 22:41:43.738252,10.0
2019-09-19 22:46:43.840641,9.996
2019-09-19 22:51:43.942893,9.992
2019-09-19 22:56:44.045147,9.988
2019-09-19 23:01:44.147419,9.988
2019-09-19 23:06:44.224181,9.992
2019-09-19 23:11:44.326459,9.984
2019-09-19 23:16:44.428825,9.98
2019-09-19 23:21:44.531072,9.976
2019-09-19 23:26:44.633355,9.98
2019-09-19 23:31:44.705203,9.976
2019-09-19 23:36:44.807493,9.968
2019-09-19 23:41:44.909842,9.968
2019-09-19 23:46:45.012122,9.972
2019-09-19 23:51:45.114406,9.972
2019-09-19 23:56:45.216690,9.964
2019-09-20 00:01:45.318976,9.964
2019-09-20 00:06:45.421312,9.96
2019-09-20 00:11:45.523589,9.956
2019-09-20 00:16:45.625862,9.96
2019-09-20 00:21:45.728123,9.956
2019-09-20 00:26:45.830525,9.952
2019-09-20 00:31:45.932787,9.952
2019-09-20 00:36:46.035108,9.944
2019-09-20 00:41:46.137408,9.952
2019-09-20 00:46:46.239869,9.944
2019-09-20 00:51:46.342140,9.944
2019-09-20 00:56:46.444410,9.94
2019-09-20 01:01:46.546673,9.94
2019-09-20 01:06:46.649009,9.936
2019-09-20 01:11:46.751272,9.936
2019-09-20 01:16:46.853549,9.932
2019-09-20 01:21:46.955835,9.928
2019-09-20 01:26:47.058108,9.928
2019-09-20 01:31:47.160491,9.928
2019-09-20 01:36:47.262753,9.924
2019-09-20 01:41:47.365036,9.92
2019-09-20 01:46:47.467311,9.916
2019-09-20 01:51:47.569609,9.916
2019-09-20 01:56:47.671879,9.916
2019-09-20 02:01:47.774142,9.916
2019-09-20 02:06:47.876332,9.908
2019-09-20 02:11:47.978600,9.912
2019-09-20 02:16:48.080928,9.908
2019-09-20 02:21:48.183188,9.908
2019-09-20 02:26:48.285436,9.908
2019-09-20 02:31:48.387715,9.904
2019-09-20 02:36:48.490082,9.904
2019-09-20 02:41:48.592354,9.896
2019-09-20 02:46:48.694617,9.9
2019-09-20 02:51:48.705531,9.892
2019-09-20 02:56:48.807814,9.892
2019-09-20 03:01:48.910183,9.888
2019-09-20 03:06:49.012457,9.888
2019-09-20 03:11:49.114746,9.888
2019-09-20 03:16:49.217034,9.888
2019-09-20 03:21:49.319297,9.884
2019-09-20 03:26:49.421590,9.876
2019-09-20 03:31:49.523847,9.876
2019-09-20 03:36:49.626125,9.872
2019-09-20 03:41:49.728391,9.872
2019-09-20 03:46:49.830809,9.872
2019-09-20 03:51:49.933076,9.868
2019-09-20 03:56:50.035345,9.868
2019-09-20 04:01:50.137618,9.864
2019-09-20 04:06:50.239974,9.864
2019-09-20 04:11:50.342245,9.864
2019-09-20 04:16:50.444565,9.856
2019-09-20 04:21:50.484576,9.856
2019-09-20 04:26:50.586861,9.856
2019-09-20 04:31:50.689124,9.856
2019-09-20 04:36:50.791363,9.856
2019-09-20 04:41:50.893617,9.848
2019-09-20 04:46:50.995884,9.848
2019-09-20 04:51:51.098121,9.852
2019-09-20 04:56:51.200521,9.844
2019-09-20 05:01:51.302791,9.84
2019-09-20 05:06:51.405084,9.84
2019-09-20 05:11:51.507370,9.84
2019-09-20 05:16:51.539454,9.832
2019-09-20 05:21:51.641715,9.836
2019-09-20 05:26:51.743974,9.832
2019-09-20 05:31:51.846222,9.832
2019-09-20 05:36:51.948482,9.828
2019-09-20 05:41:52.050856,9.828
2019-09-20 05:46:52.153082,9.832
2019-09-20 05:51:52.255334,9.82
