time,bus_voltage,bus_current,power
Wed Sep 11 20:48:40 2019,10.976,0.0,0.0
Wed Sep 11 20:53:40 2019,10.952,0.0,0.0
Wed Sep 11 20:58:41 2019,10.928,0.0,0.0
Wed Sep 11 21:03:41 2019,10.948,0.0,0.0
Wed Sep 11 21:08:41 2019,10.932,0.0,0.0
Wed Sep 11 21:13:41 2019,10.908,0.0,0.0
Wed Sep 11 21:18:41 2019,10.9,0.0,0.0
Wed Sep 11 21:23:41 2019,10.884,0.0,0.0
Wed Sep 11 21:28:41 2019,10.86,0.0,0.0
Wed Sep 11 21:33:41 2019,10.844,0.0,0.0
Wed Sep 11 21:38:41 2019,10.772,0.0,0.0
Wed Sep 11 21:43:41 2019,10.748,0.0,0.0
Wed Sep 11 21:48:41 2019,10.716,0.0,0.0
Wed Sep 11 21:53:41 2019,10.68,0.0,0.0
Wed Sep 11 21:58:41 2019,10.64,0.0,0.0
Wed Sep 11 22:03:42 2019,10.592,0.0,0.0
Wed Sep 11 22:08:42 2019,10.54,0.0,0.0
Wed Sep 11 22:13:42 2019,10.54,0.0,0.0
Wed Sep 11 22:18:42 2019,10.484,0.0,0.0
Wed Sep 11 22:23:42 2019,10.452,0.0,0.0
Wed Sep 11 22:28:42 2019,10.376,0.0,0.0
Wed Sep 11 22:33:42 2019,10.276,0.0,0.0
Wed Sep 11 22:38:42 2019,10.128,0.0,0.0
Wed Sep 11 22:43:42 2019,9.92,0.0,0.0
Wed Sep 11 22:48:42 2019,9.544,0.0,0.0
Wed Sep 11 22:53:42 2019,9.1,0.0,0.0
Wed Sep 11 22:58:42 2019,8.624,0.0,0.0
Wed Sep 11 23:03:42 2019,7.712,0.0,0.0
